uri,type,topConceptOf,inScheme,prefLabel,altLabel,notation,definition,broader,relevantDataType,relevantCodeList,dct_type,relevantProperty,relevantQuantityKind,relevantUnit,applicableUnit,seeAlso,subject,hasProcedureForProperty,dc_type,actie,value,minValue,maxValue,operatie
lzs-type:luchtwassysteem,skos:Concept,,conceptscheme:lzs,Luchtwassysteem ,,,,lzs-type:luchtzuiveringssysteem,,,,,,,,,,,,,,,,
lzs-type:s2,skos:Concept,,conceptscheme:lzs,Chemisch luchtwassysteem,,S2,,lzs-type:luchtwassysteem,,,,,,,,,,,,,,,,
lzs-type:s1,skos:Concept,,conceptscheme:lzs,Biologisch luchtwassysteem,,S1,,lzs-type:luchtwassysteem,,,,,,,,,,,,,,,,
lzs-type:s3,skos:Concept,,conceptscheme:lzs,Biobed,,S3,,lzs-type:luchtzuiveringssysteem,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
lzss:operationeel,skos:Concept,conceptscheme:lzss,conceptscheme:lzss,Operationeel,,,,,,,,,,,,,,,,,,,,
lzss:storing,skos:Concept,conceptscheme:lzss,conceptscheme:lzss,Storing,,,,,,,,,,,,,,,,,,,,
lzss:onderhoud,skos:Concept,conceptscheme:lzss,conceptscheme:lzss,In onderhoud,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
lzsst:leeg,skos:Concept,conceptscheme:lzsst,conceptscheme:lzsst,Lege stal,,,,,,,,,,,,,,,,,,,,
lzsst:in_gebruik,skos:Concept,conceptscheme:lzsst,conceptscheme:lzsst,"Stal in gebruik, dieren aanwezig.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
lzsm:lucht,skos:Concept,conceptscheme:lzsm,conceptscheme:lzsm,Lucht,,,,,,,,,,,,,,,,,,,,
lzsm:waswater,skos:Concept,conceptscheme:lzsm,conceptscheme:lzsm,Waswater,,,,,,,,,,,,,,,,,,,,
lzsm:spuiwater,skos:Concept,conceptscheme:lzsm,conceptscheme:lzsm,Spuiwater,,,,,,,,,,,,,,,,,,,,
lzsm:stal,skos:Concept,conceptscheme:lzsm,conceptscheme:lzsm,Stal,,,,,,,,,,,,,,,,,,,,
lzsm:hetelektronischmonitoringssysteem,skos:Concept,conceptscheme:lzsm,conceptscheme:lzsm,Het elektronisch monitoringssysteem,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
quantitykind:Fugacity,qudt:QuantityKind,,,,,,,,,,,,,,http://qudt.org/vocab/unit/PA,,,,,,,,,
quantitykind:VaporPressure,qudt:QuantityKind,,,,,,,,,,,,,,http://qudt.org/vocab/unit/PA,,,,,,,,,
quantitykind:Conductivity,qudt:QuantityKind,,,,,,,,,,,,,,http://qudt.org/vocab/unit/MilliS-PER-CentiM,,,,,,,,,
quantitykind:Volume,qudt:QuantityKind,,,,,,,,,,,,,,http://qudt.org/vocab/unit/M3,,,,,,,,,
quantitykind:VolumeFlowRate,qudt:QuantityKind,,,,,,,,,,,,,,http://qudt.org/vocab/unit/M3-PER-HR,,,,,,,,,
quantitykind:Acidity,qudt:QuantityKind,,,,,,,,,,,,,,http://qudt.org/vocab/unit/PH,,,,,,,,,
quantitykind:VolumePerTime,qudt:QuantityKind,,,,,,,,,,,,,,http://qudt.org/vocab/unit/M3-PER-HR,,,,,,,,,
quantitykind:Basicity,qudt:QuantityKind,,,,,,,,,,,,,,http://qudt.org/vocab/unit/PH,,,,,,,,,
quantitykind:Count,qudt:QuantityKind,,,,,,,,,,,,,,http://qudt.org/vocab/unit/NUM,,,,,,,,,
