id,type,applicableUnit,subject,dct_type,relevantQuantityKind,seeAlso,inScheme,prefLabel,topConceptOf,broader,broaderTransitive,narrower,narrowerTransitive,semanticRelation,definition,note,relevantProperty,maxValue,minValue,operatie,notation,hasTopConcept,altLabel
https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/luchtwassysteem,http://www.w3.org/2004/02/skos/core#Concept,null,null,null,null,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs,Luchtwassysteem,null,https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/luchtzuiveringssysteem,https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/luchtzuiveringssysteem,https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/s1|https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/s2,https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/s1|https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/s2,https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/s1|https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/s2|https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/luchtzuiveringssysteem,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/luchtzuiveringssysteem,http://www.w3.org/2004/02/skos/core#Concept,null,null,null,null,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs,Luchtzuiveringssysteem,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs,null,null,https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/s3|https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/luchtwassysteem,https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/s3|https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/s1|https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/s2|https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/luchtwassysteem,https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/s3|https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/s1|https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/s2|https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/luchtwassysteem,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/medium/hetelektronischmonitoringssysteem,http://www.w3.org/2004/02/skos/core#Concept|http://www.w3.org/2000/01/rdf-schema#Resource,null,null,null,null,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzsm,Het elektronisch monitoringssysteem,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzsm,null,null,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/medium/lucht,http://www.w3.org/2004/02/skos/core#Concept|http://www.w3.org/2000/01/rdf-schema#Resource,null,null,null,null,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzsm,Lucht,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzsm,null,null,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/medium/spuiwater,http://www.w3.org/2004/02/skos/core#Concept|http://www.w3.org/2000/01/rdf-schema#Resource,null,null,null,null,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzsm,Spuiwater,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzsm,null,null,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/medium/stal,http://www.w3.org/2004/02/skos/core#Concept|http://www.w3.org/2000/01/rdf-schema#Resource,null,null,null,null,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzsm,Stal,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzsm,null,null,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/medium/waswater,http://www.w3.org/2004/02/skos/core#Concept|http://www.w3.org/2000/01/rdf-schema#Resource,null,null,null,null,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzsm,Waswater,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzsm,null,null,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/norm_bandbreedte/1,http://www.w3.org/2004/02/skos/core#Concept,null,null,https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/s1,null,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/norm_bandbreedte,Zuurtegraad waswater < 6,https://data.omgeving.vlaanderen.be/id/conceptscheme/norm_bandbreedte,null,null,null,null,null,Onder de minimum grenswaarde van 6,Onder de minimum grenswaarde van 6,https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/eigenschap/zuurtegraadwaswater,6.0,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/norm_bandbreedte/2,http://www.w3.org/2004/02/skos/core#Concept,null,null,https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/s1,null,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/norm_bandbreedte,"Zuurtegraad waswater > 8,5",https://data.omgeving.vlaanderen.be/id/conceptscheme/norm_bandbreedte,null,null,null,null,null,"Boven de maximum grenswaarde van 8,5","Boven de maximum grenswaarde van 8,5",https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/eigenschap/zuurtegraadwaswater,null,8.5,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/norm_bandbreedte/3,http://www.w3.org/2004/02/skos/core#Concept,null,null,https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/s1,null,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/norm_bandbreedte,Geleidbaarheid > maximum operationele waarde,https://data.omgeving.vlaanderen.be/id/conceptscheme/norm_bandbreedte,null,null,null,null,null,Boven de maximale waarde op technische fiche,Boven de maximale waarde op technische fiche,https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/eigenschap/geleidbaarheidvanhetwaswater,null,0.0,som,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/norm_bandbreedte/4,http://www.w3.org/2004/02/skos/core#Concept,null,null,https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/s1,null,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/norm_bandbreedte,Waswaterdebiet afwijking > 20% onder normale operationele waarde,https://data.omgeving.vlaanderen.be/id/conceptscheme/norm_bandbreedte,null,null,null,null,null,"Onder de minimum grenswaarde, een afwijking > 20% t.o.v referentiewaarde technische fiche","Onder de minimum grenswaarde, een afwijking > 20% t.o.v referentiewaarde technische fiche",https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/eigenschap/waswaterdebiet,0.8,null,product,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/norm_bandbreedte/5,http://www.w3.org/2004/02/skos/core#Concept,null,null,https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/s1,null,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/norm_bandbreedte,Spuiwaterproductie afwijking > 10% normale operationele waarde,https://data.omgeving.vlaanderen.be/id/conceptscheme/norm_bandbreedte,null,null,null,null,null,"Onder de minimum grenswaarde, een afwijking > 10% t.o.v referentiewaarde technische fiche","Onder de minimum grenswaarde, een afwijking > 10% t.o.v referentiewaarde technische fiche",https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/eigenschap/spuiwaterproductie,0.9,null,product,null,null,null
